Rank,Word
1,the
2,be
3,and
4,of
5,a
6,in
7,to
8,have
9,to
10,it
11,I
12,that
13,for
14,you
15,he
16,with
17,on
18,do
19,say
20,this
21,they
22,at
23,but
24,we
25,his
26,from
27,that
28,not
29,n't
30,by
31,she
32,or
33,as
34,what
35,go
36,their
37,can
38,who
39,get
40,if
41,would
42,her
43,all
44,my
45,make
46,about
47,know
48,will
49,as
50,up
51,one
52,time
53,there
54,year
55,so
56,think
57,when
58,which
59,them
60,some
61,me
62,people
63,take
64,out
65,into
66,just
67,see
68,him
69,your
70,come
71,could
72,now
73,than
74,like
75,other
76,how
77,then
78,its
79,our
80,two
81,more
82,these
83,want
84,way
85,look
86,first
87,also
88,new
89,because
90,day
91,more
92,use
93,no
94,man
95,find
96,here
97,thing
98,give
99,many
100,well
101,only
102,those
103,tell
104,one
105,very
106,her
107,even
108,back
109,any
110,good
111,woman
112,through
113,us
114,life
115,child
116,there
117,work
118,down
119,may
120,after
121,should
122,call
123,world
124,over
125,school
126,still
127,try
128,in
129,as
130,last
131,ask
132,need
133,too
134,feel
135,three
136,when
137,state
138,never
139,become
140,between
141,high
142,really
143,something
144,most
145,another
146,much
147,family
148,own
149,out
150,leave
151,put
152,old
153,while
154,mean
155,on
156,keep
157,student
158,why
159,let
160,great
161,same
162,big
163,group
164,begin
165,seem
166,country
167,help
168,talk
169,where
170,turn
171,problem
172,every
173,start
174,hand
175,might
176,American
177,show
178,part
179,about
180,against
181,place
182,over
183,such
184,again
185,few
186,case
187,most
188,week
189,company
190,where
191,system
192,each
193,right
194,program
195,hear
196,so
197,question
198,during
199,work
200,play
201,government
202,run
203,small
204,number
205,off
206,always
207,move
208,like
209,night
210,live
211,Mr
212,point
213,believe
214,hold
215,today
216,bring
217,happen
218,next
219,without
220,before
221,large
222,all
223,million
224,must
225,home
226,under
227,water
228,room
229,write
230,mother
231,area
232,national
233,money
234,story
235,young
236,fact
237,month
238,different
239,lot
240,right
241,study
242,book
243,eye
244,job
245,word
246,though
247,business
248,issue
249,side
250,kind
251,four
252,head
253,far
254,black
255,long
256,both
257,little
258,house
259,yes
260,after
261,since
262,long
263,provide
264,service
265,around
266,friend
267,important
268,father
269,sit
270,away
271,until
272,power
273,hour
274,game
275,often
276,yet
277,line
278,political
279,end
280,among
281,ever
282,stand
283,bad
284,lose
285,however
286,member
287,pay
288,law
289,meet
290,car
291,city
292,almost
293,include
294,continue
295,set
296,later
297,community
298,much
299,name
300,five
301,once
302,white
303,least
304,president
305,learn
306,real
307,change
308,team
309,minute
310,best
311,several
312,idea
313,kid
314,body
315,information
316,nothing
317,ago
318,right
319,lead
320,social
321,understand
322,whether
323,back
324,watch
325,together
326,follow
327,around
328,parent
329,only
330,stop
331,face
332,anything
333,create
334,public
335,already
336,speak
337,others
338,read
339,level
340,allow
341,add
342,office
343,spend
344,door
345,health
346,person
347,art
348,sure
349,such
350,war
351,history
352,party
353,within
354,grow
355,result
356,open
357,change
358,morning
359,walk
360,reason
361,low
362,win
363,research
364,girl
365,guy
366,early
367,food
368,before
369,moment
370,himself
371,air
372,teacher
373,force
374,offer
375,enough
376,both
377,education
378,across
379,although
380,remember
381,foot
382,second
383,boy
384,maybe
385,toward
386,able
387,age
388,off
389,policy
390,everything
391,love
392,process
393,music
394,including
395,consider
396,appear
397,actually
398,buy
399,probably
400,human
401,wait
402,serve
403,market
404,die
405,send
406,expect
407,home
408,sense
409,build
410,stay
411,fall
412,oh
413,nation
414,plan
415,cut
416,college
417,interest
418,death
419,course
420,someone
421,experience
422,behind
423,reach
424,local
425,kill
426,six
427,remain
428,effect
429,use
430,yeah
431,suggest
432,class
433,control
434,raise
435,care
436,perhaps
437,little
438,late
439,hard
440,field
441,else
442,pass
443,former
444,sell
445,major
446,sometimes
447,require
448,along
449,development
450,themselves
451,report
452,role
453,better
454,economic
455,effort
456,up
457,decide
458,rate
459,strong
460,possible
461,heart
462,drug
463,show
464,leader
465,light
466,voice
467,wife
468,whole
469,police
470,mind
471,finally
472,pull
473,return
474,free
475,military
476,price
477,report
478,less
479,according
480,decision
481,explain
482,son
483,hope
484,even
485,develop
486,view
487,relationship
488,carry
489,town
490,road
491,drive
492,arm
493,TRUE
494,federal
495,break
496,better
497,difference
498,thank
499,receive
500,value
501,international
502,building
503,action
504,full
505,model
506,join
507,season
508,society
509,because
510,tax
511,director
512,early
513,position
514,player
515,agree
516,especially
517,record
518,pick
519,wear
520,paper
521,special
522,space
523,ground
524,form
525,support
526,event
527,official
528,whose
529,matter
530,everyone
531,center
532,couple
533,site
534,end
535,project
536,hit
537,base
538,activity
539,star
540,table
541,need
542,court
543,produce
544,eat
545,American
546,teach
547,oil
548,half
549,situation
550,easy
551,cost
552,industry
553,figure
554,face
555,street
556,image
557,itself
558,phone
559,either
560,data
561,cover
562,quite
563,picture
564,clear
565,practice
566,piece
567,land
568,recent
569,describe
570,product
571,doctor
572,wall
573,patient
574,worker
575,news
576,test
577,movie
578,certain
579,north
580,love
581,personal
582,open
583,support
584,simply
585,third
586,technology
587,catch
588,step
589,baby
590,computer
591,type
592,attention
593,draw
594,film
595,Republican
596,tree
597,source
598,red
599,nearly
600,organization
601,choose
602,cause
603,hair
604,look
605,point
606,century
607,evidence
608,window
609,difficult
610,listen
611,soon
612,culture
613,billion
614,chance
615,brother
616,energy
617,period
618,course
619,summer
620,less
621,realize
622,hundred
623,available
624,plant
625,likely
626,opportunity
627,term
628,short
629,letter
630,condition
631,choice
632,place
633,single
634,rule
635,daughter
636,administration
637,south
638,husband
639,Congress
640,floor
641,campaign
642,material
643,population
644,well
645,call
646,economy
647,medical
648,hospital
649,church
650,close
651,thousand
652,risk
653,current
654,fire
655,future
656,wrong
657,involve
658,defense
659,anyone
660,increase
661,security
662,bank
663,myself
664,certainly
665,west
666,sport
667,board
668,seek
669,per
670,subject
671,officer
672,private
673,rest
674,behavior
675,deal
676,performance
677,fight
678,throw
679,top
680,quickly
681,past
682,goal
683,second
684,bed
685,order
686,author
687,fill
688,represent
689,focus
690,foreign
691,drop
692,plan
693,blood
694,upon
695,agency
696,push
697,nature
698,color
699,no
700,recently
701,store
702,reduce
703,sound
704,note
705,fine
706,before
707,near
708,movement
709,page
710,enter
711,share
712,than
713,common
714,poor
715,other
716,natural
717,race
718,concern
719,series
720,significant
721,similar
722,hot
723,language
724,each
725,usually
726,response
727,dead
728,rise
729,animal
730,factor
731,decade
732,article
733,shoot
734,east
735,save
736,seven
737,artist
738,away
739,scene
740,stock
741,career
742,despite
743,central
744,eight
745,thus
746,treatment
747,beyond
748,happy
749,exactly
750,protect
751,approach
752,lie
753,size
754,dog
755,fund
756,serious
757,occur
758,media
759,ready
760,sign
761,thought
762,list
763,individual
764,simple
765,quality
766,pressure
767,accept
768,answer
769,hard
770,resource
771,identify
772,left
773,meeting
774,determine
775,prepare
776,disease
777,whatever
778,success
779,argue
780,cup
781,particularly
782,amount
783,ability
784,staff
785,recognize
786,indicate
787,character
788,growth
789,loss
790,degree
791,wonder
792,attack
793,herself
794,region
795,television
796,box
797,TV
798,training
799,pretty
800,trade
801,deal
802,election
803,everybody
804,physical
805,lay
806,general
807,feeling
808,standard
809,bill
810,message
811,fail
812,outside
813,arrive
814,analysis
815,benefit
816,name
817,sex
818,forward
819,lawyer
820,present
821,section
822,environmental
823,glass
824,answer
825,skill
826,sister
827,PM
828,professor
829,operation
830,financial
831,crime
832,stage
833,ok
834,compare
835,authority
836,miss
837,design
838,sort
839,one
840,act
841,ten
842,knowledge
843,gun
844,station
845,blue
846,state
847,strategy
848,little
849,clearly
850,discuss
851,indeed
852,force
853,truth
854,song
855,example
856,democratic
857,check
858,environment
859,leg
860,dark
861,public
862,various
863,rather
864,laugh
865,guess
866,executive
867,set
868,study
869,prove
870,hang
871,entire
872,rock
873,design
874,enough
875,forget
876,since
877,claim
878,note
879,remove
880,manager
881,help
882,close
883,sound
884,enjoy
885,network
886,legal
887,religious
888,cold
889,form
890,final
891,main
892,science
893,green
894,memory
895,card
896,above
897,seat
898,cell
899,establish
900,nice
901,trial
902,expert
903,that
904,spring
905,firm
906,Democrat
907,radio
908,visit
909,management
910,care
911,avoid
912,imagine
913,tonight
914,huge
915,ball
916,no
917,close
918,finish
919,yourself
920,talk
921,theory
922,impact
923,respond
924,statement
925,maintain
926,charge
927,popular
928,traditional
929,onto
930,reveal
931,direction
932,weapon
933,employee
934,cultural
935,contain
936,peace
937,head
938,control
939,base
940,pain
941,apply
942,play
943,measure
944,wide
945,shake
946,fly
947,interview
948,manage
949,chair
950,fish
951,particular
952,camera
953,structure
954,politics
955,perform
956,bit
957,weight
958,suddenly
959,discover
960,candidate
961,top
962,production
963,treat
964,trip
965,evening
966,affect
967,inside
968,conference
969,unit
970,best
971,style
972,adult
973,worry
974,range
975,mention
976,rather
977,far
978,deep
979,past
980,edge
981,individual
982,specific
983,writer
984,trouble
985,necessary
986,throughout
987,challenge
988,fear
989,shoulder
990,institution
991,middle
992,sea
993,dream
994,bar
995,beautiful
996,property
997,instead
998,improve
999,stuff
